id,age,balance,contact,day,duration,campaign,pdays,previous,poutcome,y,job_cats,marital_cats,education_cats,default_cats,housing_cats,loan_cats,month_cats
1.0,58,2143.0,u,5.0,261.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
2.0,44,29.0,u,5.0,151.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
3.0,33,2.0,u,5.0,76.0,1.0,-1.0,0.0,unknown,no,2,1,1,0,1,1,8
4.0,47,1506.0,u,5.0,92.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
5.0,33,1.0,u,5.0,198.0,1.0,-1.0,0.0,unknown,no,11,2,3,0,0,0,8
6.0,35,231.0,u,5.0,139.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
7.0,28,447.0,u,5.0,217.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,1,8
8.0,42,2.0,u,5.0,380.0,1.0,-1.0,0.0,unknown,no,2,0,2,1,1,0,8
9.0,58,121.0,u,5.0,50.0,1.0,-1.0,0.0,unknown,no,5,1,0,0,1,0,8
10.0,43,593.0,u,5.0,55.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
11.0,41,270.0,u,5.0,222.0,1.0,-1.0,0.0,unknown,no,0,0,1,0,1,0,8
12.0,29,390.0,u,5.0,137.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,0,8
13.0,53,6.0,u,5.0,517.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
14.0,58,71.0,u,5.0,71.0,1.0,-1.0,0.0,unknown,no,9,1,3,0,1,0,8
15.0,57,162.0,u,5.0,174.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
16.0,51,229.0,u,5.0,353.0,1.0,-1.0,0.0,unknown,no,5,1,0,0,1,0,8
17.0,45,13.0,u,5.0,98.0,1.0,-1.0,0.0,unknown,no,0,2,3,0,1,0,8
18.0,57,52.0,u,5.0,38.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
19.0,60,60.0,u,5.0,219.0,1.0,-1.0,0.0,unknown,no,5,1,0,0,1,0,8
20.0,33,0.0,u,5.0,54.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
21.0,28,723.0,u,5.0,262.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,1,8
22.0,56,779.0,u,5.0,164.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
23.0,32,23.0,u,5.0,160.0,1.0,-1.0,0.0,unknown,no,1,2,0,0,1,1,8
24.0,25,50.0,u,5.0,342.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
25.0,40,0.0,u,5.0,181.0,1.0,-1.0,0.0,unknown,no,5,1,0,0,1,1,8
26.0,44,-372.0,u,5.0,172.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,0,8
27.0,39,255.0,u,5.0,296.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
28.0,52,113.0,u,5.0,127.0,1.0,-1.0,0.0,unknown,no,2,1,1,0,1,1,8
29.0,46,-246.0,u,5.0,255.0,2.0,-1.0,0.0,unknown,no,4,2,1,0,1,0,8
30.0,36,265.0,u,5.0,348.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,1,8
31.0,57,839.0,u,5.0,225.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,0,1,8
32.0,49,378.0,u,5.0,230.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
33.0,60,39.0,u,5.0,208.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,1,8
34.0,59,0.0,u,5.0,226.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
